sasdate,CMRMTSPLx,GDPCTPI,FEDFUNDS,INDPRO,PCECC96,GDPC1,CPIAUCSL,PPIACO
1994/3/1,13656.3586,0.356,0.2233,0.8451,17.934,-37.503,-0.4667,0.4667
1994/6/1,11188.4237,0.333,0.7267,1.2499,-23.391,40.16,0.1,0.6666
1994/9/1,14142.9227,0.374,0.5467,0.8973,-0.638,-77.702,0.5334,0.9334
1994/12/1,17997.352,0.394,0.68,1.4766,21.84,58.627,-0.5,0.4666
1995/3/1,7393.651,0.404,0.6433,0.7454,-55.852,-81.718,0.2333,2
1995/6/1,-1337.8384,0.35,0.21,0.2331,42.873,-5.816,0.1333,1.5
1995/9/1,8782.684,0.321,-0.2233,0.6744,2.559,58.504,-0.4666,0.2667
1995/12/1,11970.7334,0.34,-0.0767,0.6373,-13.926,-17.542,0.0666,0.2667
1996/3/1,1799.8623,0.333,-0.3567,0.5049,16.053,8,0.5334,0.8333
1996/6/1,14295.661,0.297,-0.12,1.6192,11.428,100.008,-0.0334,1.5333
1996/9/1,9719.848,0.355,0.0634,0.9987,-32.737,-81.772,-0.4333,0.3334
1996/12/1,12579.5727,0.31,-0.0267,1.095,13.976,16.575,0.4667,0.2666
1997/3/1,22933.5473,0.33,-0.0033,1.5113,19.088,-42.847,-0.4001,0.0667
1997/6/1,14195.6667,0.369,0.2466,1.1522,-43.342,115.168,-0.5999,-1.3
1997/9/1,19415.3333,0.22,0.01,1.8771,92.198,-44.051,0.4333,0
1997/12/1,7738,0.267,-0.0266,2.098,-35.847,-43.742,0.0667,0.3
1998/3/1,14912.667,0.076,0.0133,0.9641,-12.815,17.336,-0.5334,-2.4667
1998/6/1,10444.666,0.195,-0.02,0.5843,57.982,-7.547,0.2,-0.1
1998/9/1,3125,0.291,0.0333,0.6457,-33.127,40.036,0.3001,-0.6333
1998/12/1,24832.334,0.203,-0.6733,1.2666,12.391,45.804,-0.0668,-0.8333
1999/3/1,15921.666,0.246,-0.1267,0.9872,-36.232,-79.093,-0.1666,-0.8667
1999/6/1,13510.334,0.331,0.0134,0.8663,40.066,-20.892,0.6334,1.9
1999/9/1,12510.666,0.282,0.3466,0.8116,-25.219,68.29,-0.0001,2.3667
1999/12/1,16651,0.391,0.2134,1.6269,28.875,51.517,2.84E-14,1.0666
2000/3/1,4879.334,0.526,0.37,0.9451,7.737,-168.622,0.4334,1.7
