sasdate,FACTOR,PCECC96,GDPC1,CPIAUCSL,PPIACO
1995/9/1,3105.18163,2.559,58.504,-0.4666,0.2667
1995/12/1,4232.268035,-13.926,-17.542,0.0666,0.2667
1996/3/1,636.3561466,16.053,8,0.5334,0.8333
1996/6/1,5054.340039,11.428,100.008,-0.0334,1.5333
1996/9/1,3436.412271,-32.737,-81.772,-0.4333,0.3334
1996/12/1,4447.55616,13.976,16.575,0.4667,0.2666
1997/3/1,8108.191721,19.088,-42.847,-0.4001,0.0667
1997/6/1,5018.9813,-43.342,115.168,-0.5999,-1.3
1997/9/1,6864.338252,92.198,-44.051,0.4333,0
1997/12/1,2735.749888,-35.847,-43.742,0.0667,0.3
1998/3/1,5272.420467,-12.815,17.336,-0.5334,-2.4667
1998/6/1,3692.750491,57.982,-7.547,0.2,-0.1
1998/9/1,1104.869747,-33.127,40.036,0.3001,-0.6333
1998/12/1,8779.571404,12.391,45.804,-0.0668,-0.8333
1999/3/1,5629.082006,-36.232,-79.093,-0.1666,-0.8667
1999/6/1,4776.611166,40.066,-20.892,0.6334,1.9
1999/9/1,4423.218131,-25.219,68.29,-0.0001,2.3667
1999/12/1,5887.048139,28.875,51.517,2.84E-14,1.0666
2000/3/1,1724.988202,7.737,-168.622,0.4334,1.7
2000/6/1,3455.032779,-46.622,190.077,-0.3334,2.4
2000/9/1,45.81261847,2.181,-219.086,0.2334,1.7334
2000/12/1,-1064.034269,-9.758,64.51,-0.3334,1.7666
2001/3/1,-2528.23043,-39.645,-119.903,0.4334,2.2334
2001/6/1,-5241.107049,-14.276,115.11,-0.4334,-1.5334
2001/9/1,-1578.46461,9.422,-132.494,-0.7333,-2.8666
2001/12/1,5971.24179,102.089,91.275,-0.6333,-3.9667
2002/3/1,-201.9720709,-104.824,80.068,0.7,-0.5
2002/6/1,4694.335367,18.766,-34.993,0.8333,1.9333
2002/9/1,1432.35044,19.349,-21.23,-0.4334,0.8334
2002/12/1,-1067.641223,-13.189,-38.96,0.1001,1.4
2003/3/1,-65.49074898,-9.272,54.261,0.8,4.9666
2003/6/1,3369.756065,60.353,42.069,-2.1667,-0.8666
2003/9/1,7223.40477,33.2,116.24,1.6666,0.9
2003/12/1,2701.542423,-72.578,-72.958,-0.6666,1.1666
2004/3/1,3056.763682,20.59,-85.07,0.8667,2.9667
2004/6/1,3676.962535,-24.948,32.874,-0.1,4.0667
2004/9/1,3765.013903,47.115,27.085,-0.2667,1.4333
2004/12/1,6024.189296,-0.592,9.431,0.8333,2.8333
2005/3/1,5379.536329,-48.648,16.834,-1.0666,1.5334
2005/6/1,5433.112639,55.086,-93.546,0.3333,2.4666
2005/9/1,2212.689873,-15.187,64.092,1.6333,4.1667
2005/12/1,3787.210445,-67.404,-37.729,-1.1,5.6
2006/3/1,7076.805502,83.341,105.886,-0.7999,-1.5333
2006/6/1,-1377.217739,-61.344,-164.75,0.7666,2.6333
2006/9/1,92.86114536,10.658,-12.016,0.1,1.3
2006/12/1,3711.090283,37.901,106.897,-2.7334,-2.5667
2007/3/1,4140.495928,-41.903,-94.16,2.8171,2.5667
2007/6/1,2385.797686,-39.202,52.357,0.3303,6.1333
2007/9/1,1844.610465,40.066,-4.104,-1.006,0.8334
2007/12/1,2526.603898,-29.333,10.576,1.2427,3.7666
2008/3/1,-5599.592425,-58.676,-185.813,-0.2707,6.4334
2008/6/1,-3248.546489,45.625,171.509,0.488,12.1333
2008/9/1,-15194.88992,-97.093,-166.201,0.5553,4.4667
2008/12/1,-21043.39507,-18.647,-253.729,-8.3356,-22.4334
2009/3/1,-15396.84521,74.802,166.918,3.5413,-8.5
2009/6/1,-8023.07197,-18.686,150.264,2.6003,1.8
2009/9/1,5831.935955,114.232,76.928,0.7077,2.5334
2009/12/1,4883.319969,-87.425,111.731,-0.151,3.0333
2010/3/1,4309.39861,67.344,-107.749,-1.342,5.1667
2010/6/1,8598.819128,31.929,83.045,-0.4207,2.1666
2010/9/1,5979.024787,-9.522,-27.442,0.7137,0.4
2010/12/1,3313.115916,-3.537,-36.032,1.1277,3.3667
2011/3/1,3688.527647,-24.915,-116.529,0.58,7.9
2011/6/1,-1208.699723,-21.829,150.213,0.1799,7.8
2011/9/1,4955.200777,18.469,-116.738,-1.0602,0.1333
2011/12/1,4924.28496,-22.525,187.803,-0.4498,-3.0666
2012/3/1,5621.348548,67.553,-58.096,0.2641,1.4
2012/6/1,2218.48386,-71.128,-55.922,-0.7967,-0.3667
2012/9/1,432.7163701,1.65,-47.529,0.551,0.6
2012/12/1,4674.443534,31.403,-3.389,0.4953,-0.1333
